product_name,brand,price,category,description,sustainability_label,clean_text
Rias Jaipur Escher Halter Heart Dress,rias-jaipur,"₹10,500",,Rias Jaipur Escher Halter Heart Dress,1,rias jaipur escher halter heart dress
United Colors of Benetton Women Navy Blue Top,unknown,,Apparel,United Colors of Benetton Women Navy Blue Top,0,united colors of benetton women navy blue top
Fastrack Unisex Black Orange Single Strap Backpack,unknown,,Accessories,Fastrack Unisex Black Orange Single Strap Backpack,0,fastrack unisex black orange single strap backpack
Studio Amala Mocha Mousse Luxe Midi Cotton Slip Dress,studio-amala,"₹11,900",,Studio Amala Mocha Mousse Luxe Midi Cotton Slip Dress,1,studio amala mocha mousse luxe midi cotton slip dress
Lafaani Phosphene Asymmetrical Dress,lafaani,"₹9,799",,Lafaani Phosphene Asymmetrical Dress,1,lafaani phosphene asymmetrical dress
SDL by Sweet Dreams Women Green Nightdress,unknown,,Apparel,SDL by Sweet Dreams Women Green Nightdress,0,sdl by sweet dreams women green nightdress
Baggit Women Black Voodoo Gang Handbag,unknown,,Accessories,Baggit Women Black Voodoo Gang Handbag,0,baggit women black voodoo gang handbag
Rocia Women Black & Brown Sandals,unknown,,Footwear,Rocia Women Black & Brown Sandals,0,rocia women black brown sandals
Palm Tree Kids Boys Printed Blue Sweatshirts,unknown,,Apparel,Palm Tree Kids Boys Printed Blue Sweatshirts,0,palm tree kids boys printed blue sweatshirts
Earth Republic 100% Cotton Ikat Amberella Handloom Dress,earth-republic,"₹5,700",,Earth Republic 100% Cotton Ikat Amberella Handloom Dress,1,earth republic cotton ikat amberella handloom dress
Nike Men's Zoom Vomero 5 Grey Blue Shoe,unknown,,Footwear,Nike Men's Zoom Vomero 5 Grey Blue Shoe,0,men s zoom vomero grey blue shoe
Studio Amala Satin Women's Crimson Charm Red Satin Slip Dress,studio-amala,"₹10,700",,Studio Amala Satin Women's Crimson Charm Red Satin Slip Dress,1,studio amala satin women s crimson charm red satin slip dress
East 14  Cupro Linen Satin Women Statten Vest,east-14,"₹6,999",,East 14  Cupro Linen Satin Women Statten Vest,1,east cupro linen satin women statten vest
Something Sustainable Organic Cotton Lush Indigo Dress,something-sustainable,"₹6,500",,Something Sustainable Organic Cotton Lush Indigo Dress,1,something sustainable organic cotton lush indigo dress
